injection_id	sample_id	known_id	volume	fraction_known
2017-10-10_001.lcd		STD-0120	30	1
2017-10-10_002.lcd		STD-0121	30	1
2017-10-10_003.lcd		STD-0122	30	1
2017-10-10_004.lcd		STD-0123	30	1
2017-10-10_005.lcd		STD-0124	30	1
2017-10-10_006.lcd		STD-0125	30	1
2017-10-10_007.lcd		STD-0126	30	1
2017-10-10_008.lcd		STD-0127	30	1
2017-10-10_009.lcd		STD-0128	30	1
2017-10-10_010.lcd	CULT-0001		30	0
2017-10-10_011.lcd	CULT-0002		30	0
2017-10-10_012.lcd	CULT-0003		30	0
2017-10-10_013.lcd	CULT-0004		30	0
2017-10-10_014.lcd	CULT-0005		30	0
2017-10-10_015.lcd	CULT-0006		30	0
2017-10-10_016.lcd	CULT-0007		30	0
2017-10-10_017.lcd	CULT-0008		30	0
2017-10-10_018.lcd	CULT-0009		30	0
2017-10-10_019.lcd	CULT-0010		30	0
2017-10-10_020.lcd	CULT-0011		30	0
2017-10-10_021.lcd	CULT-0012		30	0
2017-10-10_022.lcd	CULT-0013		30	0
2017-10-10_023.lcd	CULT-0014		30	0
2017-10-10_024.lcd	CULT-0015		30	0
2017-10-10_025.lcd	CULT-0016		30	0
2017-10-10_026.lcd	CULT-0017		30	0
2017-10-10_027.lcd	CULT-0018		30	0
2017-10-10_050.lcd		STD-0120	30	1
2017-10-10_051.lcd		STD-0121	30	1
2017-10-10_052.lcd		STD-0122	30	1
2017-10-10_053.lcd		STD-0123	30	1
2017-10-10_054.lcd		STD-0124	30	1
2017-10-10_055.lcd		STD-0125	30	1
2017-10-10_056.lcd		STD-0126	30	1
2017-10-10_057.lcd		STD-0127	30	1
2017-10-10_058.lcd		STD-0128	30	1
2017-10-12_001.lcd		STD-0123	30	1
2017-10-12_002.lcd	CULT-0021		30	0
2017-10-12_003.lcd	CULT-0022		30	0
2017-10-12_004.lcd	CULT-0023		30	0
2017-10-12_005.lcd	CULT-0024		30	0
2017-10-12_006.lcd	CULT-0025		30	0
2017-10-12_007.lcd	CULT-0026		30	0
2017-10-12_008.lcd	CULT-0027		30	0
2017-10-12_009.lcd	CULT-0028		30	0
2017-10-12_010.lcd	CULT-0029		30	0
2017-10-12_011.lcd	CULT-0030		30	0
2017-10-12_012.lcd	CULT-0031		30	0
2017-10-12_013.lcd	CULT-0032		30	0
2017-10-12_014.lcd	CULT-0033		30	0
2017-10-12_015.lcd	CULT-0034		30	0
2017-10-12_016.lcd	CULT-0035		30	0
2017-10-12_017.lcd	CULT-0036		30	0
2017-10-12_018.lcd	CULT-0037		30	0
2017-10-12_019.lcd	CULT-0038		30	0
2017-10-12_020.lcd	CULT-0039		30	0
2017-10-12_021.lcd	CULT-0040		30	0
2017-10-12_022.lcd	CULT-0041		30	0
2017-10-12_023.lcd	CULT-0042		30	0
2017-10-12_024.lcd	CULT-0043		30	0
2017-10-12_025.lcd	CULT-0044		30	0
2017-10-12_034.lcd		STD-0120	30	1
2017-10-12_035.lcd		STD-0121	30	1
2017-10-12_036.lcd		STD-0122	30	1
2017-10-12_037.lcd		STD-0123	30	1
2017-10-12_038.lcd		STD-0124	30	1
2017-10-12_039.lcd		STD-0125	30	1
2017-10-12_030.lcd		STD-0126	30	1
2017-10-12_041.lcd		STD-0127	30	1
2017-10-12_042.lcd		STD-0128	30	1
